name,infolink
Christian-Sünner-Str.,https://www.kvb.koeln/haltestellen/overview/923/
Christophstr./Mediapark,https://www.kvb.koeln/haltestellen/overview/32/
Clarenbachstift,https://www.kvb.koeln/haltestellen/overview/180/
Colonia-Allee,https://www.kvb.koeln/haltestellen/overview/592/
Corintostr.,https://www.kvb.koeln/haltestellen/overview/921/
Cottbuser Str.,https://www.kvb.koeln/haltestellen/overview/605/
Cranachstr.,https://www.kvb.koeln/haltestellen/overview/826/
Curt-Stenvert-Bogen,https://www.kvb.koeln/haltestellen/overview/926/
Cäsarstr.,https://www.kvb.koeln/haltestellen/overview/70/
CöllnParc,https://www.kvb.koeln/haltestellen/overview/900/
Danzierstr.,https://www.kvb.koeln/haltestellen/overview/962/
Dasselstr./Bf Süd,https://www.kvb.koeln/haltestellen/overview/865/
Deckstein,https://www.kvb.koeln/haltestellen/overview/177/
Dellbrück Hauptstr.,https://www.kvb.koeln/haltestellen/overview/595/
Dellbrück Mauspfad,https://www.kvb.koeln/haltestellen/overview/594/
Dellbrück S-Bahn,https://www.kvb.koeln/haltestellen/overview/604/
Dersdorf,https://www.kvb.koeln/haltestellen/overview/674/
Deutz Technische Hochschule,https://www.kvb.koeln/haltestellen/overview/44/
Deutzer Freiheit,https://www.kvb.koeln/haltestellen/overview/39/
Deutzer Friedhof,https://www.kvb.koeln/haltestellen/overview/890/
Deutzer Ring,https://www.kvb.koeln/haltestellen/overview/496/
Diepenbeekallee,https://www.kvb.koeln/haltestellen/overview/229/
Diepeschrather Str.,https://www.kvb.koeln/haltestellen/overview/602/
Dieselstr.,https://www.kvb.koeln/haltestellen/overview/214/
Dillenburger Str.,https://www.kvb.koeln/haltestellen/overview/960/
Dionysstr.,https://www.kvb.koeln/haltestellen/overview/360/
DLR,https://www.kvb.koeln/haltestellen/overview/509/
Dohmengasse,https://www.kvb.koeln/haltestellen/overview/295/
Dom/Hbf,https://www.kvb.koeln/haltestellen/overview/752/
Donatusstr.,https://www.kvb.koeln/haltestellen/overview/383/
Dornstr.,https://www.kvb.koeln/haltestellen/overview/430/
Dorotheenstr.,https://www.kvb.koeln/haltestellen/overview/484/
Dr.-Schultz-Str.,https://www.kvb.koeln/haltestellen/overview/715/
Dransdorf,https://www.kvb.koeln/haltestellen/overview/697/
Drehbrücke,https://www.kvb.koeln/haltestellen/overview/46/
Drosselweg,https://www.kvb.koeln/haltestellen/overview/346/
Dünnwald Waldbad,https://www.kvb.koeln/haltestellen/overview/794/
Dünnwalder Str.,https://www.kvb.koeln/haltestellen/overview/634/
Dürener Str./Gürtel,https://www.kvb.koeln/haltestellen/overview/170/
Dädalusring,https://www.kvb.koeln/haltestellen/overview/361/
Ebernburgweg,https://www.kvb.koeln/haltestellen/overview/330/
Ebertplatz,https://www.kvb.koeln/haltestellen/overview/35/
Ebertplatz/Riehler Str.,https://www.kvb.koeln/haltestellen/overview/653/
Eddaweg,https://www.kvb.koeln/haltestellen/overview/662/
Edelhofstr.,https://www.kvb.koeln/haltestellen/overview/650/
Edmund-Rumpler-Str.,https://www.kvb.koeln/haltestellen/overview/790/
Edsel-Ford-Str.,https://www.kvb.koeln/haltestellen/overview/414/
Efferen,https://www.kvb.koeln/haltestellen/overview/730/
Egelspfad,https://www.kvb.koeln/haltestellen/overview/211/
Eggerbachstr.,https://www.kvb.koeln/haltestellen/overview/597/
Egonstr.,https://www.kvb.koeln/haltestellen/overview/645/
Eichenstr.,https://www.kvb.koeln/haltestellen/overview/252/
Eifelplatz,https://www.kvb.koeln/haltestellen/overview/21/
Eifelstr.,https://www.kvb.koeln/haltestellen/overview/22/
Eifelwall/Stadtarchiv,https://www.kvb.koeln/haltestellen/overview/26/
Eil Heumarer Str.,https://www.kvb.koeln/haltestellen/overview/460/
Eil Kirche,https://www.kvb.koeln/haltestellen/overview/458/
Eiler Str.,https://www.kvb.koeln/haltestellen/overview/559/
Elisabeth-Breuer-Str.,https://www.kvb.koeln/haltestellen/overview/934/
Elisabethstr.,https://www.kvb.koeln/haltestellen/overview/720/
Elsdorf,https://www.kvb.koeln/haltestellen/overview/481/
Emilstr.,https://www.kvb.koeln/haltestellen/overview/268/
Engeldorfer Hof,https://www.kvb.koeln/haltestellen/overview/89/
Engeldorfer Str.,https://www.kvb.koeln/haltestellen/overview/87/
Ensen Gilgaustr.,https://www.kvb.koeln/haltestellen/overview/451/
Ensen Kloster,https://www.kvb.koeln/haltestellen/overview/452/
Erker Mühle,https://www.kvb.koeln/haltestellen/overview/548/
Erlenweg,https://www.kvb.koeln/haltestellen/overview/269/
Ernst-Volland-Str.,https://www.kvb.koeln/haltestellen/overview/128/
Esch,https://www.kvb.koeln/haltestellen/overview/377/
Esch Friedhof,https://www.kvb.koeln/haltestellen/overview/857/
Escher See,https://www.kvb.koeln/haltestellen/overview/774/
Escher Str.,https://www.kvb.koeln/haltestellen/overview/326/
Esserstr.,https://www.kvb.koeln/haltestellen/overview/528/
Esso,https://www.kvb.koeln/haltestellen/overview/366/
Ettore-Bugatti-Str.,https://www.kvb.koeln/haltestellen/overview/437/
Etzelstr.,https://www.kvb.koeln/haltestellen/overview/341/
Eupener Str.,https://www.kvb.koeln/haltestellen/overview/181/
Europaring,https://www.kvb.koeln/haltestellen/overview/562/
Euskirchener Str.,https://www.kvb.koeln/haltestellen/overview/163/
Eygelshovener Str.,https://www.kvb.koeln/haltestellen/overview/202/
Eythstr.,https://www.kvb.koeln/haltestellen/overview/514/
Falkenweg,https://www.kvb.koeln/haltestellen/overview/290/
Feldbergstr.,https://www.kvb.koeln/haltestellen/overview/525/
Feldkasseler Weg,https://www.kvb.koeln/haltestellen/overview/855/
Feltenstr.,https://www.kvb.koeln/haltestellen/overview/267/
Feuerwache,https://www.kvb.koeln/haltestellen/overview/471/
Fischenich,https://www.kvb.koeln/haltestellen/overview/731/
Flachsweg,https://www.kvb.koeln/haltestellen/overview/192/
Flehbachstr.,https://www.kvb.koeln/haltestellen/overview/546/
Flittard Süd,https://www.kvb.koeln/haltestellen/overview/647/
Flittarder Feld,https://www.kvb.koeln/haltestellen/overview/648/
Florastr.,https://www.kvb.koeln/haltestellen/overview/304/
Florenzer Str.,https://www.kvb.koeln/haltestellen/overview/856/
Flughafen Personalparkplatz,https://www.kvb.koeln/haltestellen/overview/745/
Fordwerke Mitte,https://www.kvb.koeln/haltestellen/overview/369/
Fordwerke Nord,https://www.kvb.koeln/haltestellen/overview/370/
Fordwerke Süd,https://www.kvb.koeln/haltestellen/overview/368/
Frankenforst,https://www.kvb.koeln/haltestellen/overview/671/
Frankenstr.,https://www.kvb.koeln/haltestellen/overview/88/
Frankenthaler Str.,https://www.kvb.koeln/haltestellen/overview/329/
Frankfurter Str. S-Bahn,https://www.kvb.koeln/haltestellen/overview/657/
Frankstr.,https://www.kvb.koeln/haltestellen/overview/110/
Franz-Liszt-Str.,https://www.kvb.koeln/haltestellen/overview/755/
Franziska-Anneke-Str.,https://www.kvb.koeln/haltestellen/overview/849/
Frechen Bf,https://www.kvb.koeln/haltestellen/overview/712/
Frechen Kirche,https://www.kvb.koeln/haltestellen/overview/711/
Frechen Rathaus,https://www.kvb.koeln/haltestellen/overview/710/
Frechen-Benzelrath,https://www.kvb.koeln/haltestellen/overview/708/
Frechener Weg,https://www.kvb.koeln/haltestellen/overview/222/
Freiheitsring,https://www.kvb.koeln/haltestellen/overview/717/
Freiligrathstr.,https://www.kvb.koeln/haltestellen/overview/880/
Friedensstr.,https://www.kvb.koeln/haltestellen/overview/477/
Friedhof Chorweiler,https://www.kvb.koeln/haltestellen/overview/398/
